1,28 Talisman Road,,Vecpiebalga,Latvia
2,12795 Columbus Hill,468 22,Železný Brod,Czech Republic
3,98 Northwestern Plaza,216282,Ovsyanka,Russia
4,234 3rd Junction,687 51,Nivnice,Czech Republic
5,20 Bartillon Park,263 01,Dobříš,Czech Republic
6,46987 Prentice Street,,Kocēni,Latvia
7,30089 Lakewood Crossing,461150,Pleshanovo,Russia
8,3944 Stephen Terrace,517 42,Doudleby nad Orlicí,Czech Republic
9,60398 4th Plaza,164903,Novodvinsk,Russia
10,4146 Gale Terrace,186120,Pryazha,Russia
11,70831 Clarendon Place,629733,Zvëzdnyy,Russia
12,43 Continental Junction,,Zaliznychne,Ukraine
13,3 Service Junction,162400,Chagoda,Russia
14,096 American Plaza,186509,Belomorsk,Russia
15,4 Westerfield Point,433303,Alpatovo,Russia
16,8212 Scoville Crossing,11-414,Kętrzyn,Poland
17,2 Golf Court,,Prawdzinski,Belarus
18,0007 Waxwing Point,549 01,Nové Město nad Metují,Czech Republic
19,5949 American Ash Circle,33-160,Ryglice,Poland
20,50479 Monterey Center,396026,Ramon’,Russia
21,292 Arrowood Alley,,Hadyach,Ukraine
22,20 Express Drive,,Volodarka,Ukraine
23,82 Loomis Place,8015,Bodø,Norway
24,199 Loomis Place,456555,Korkino,Russia
25,710 Monument Park,,Kushnytsya,Ukraine
26,8075 Sage Pass,768 02,Zdounky,Czech Republic
27,6561 Twin Pines Plaza,433649,Mullovka,Russia
28,67430 1st Hill,0280,Oslo,Norway
29,18582 Forest Dale Alley,263 01,Dobříš,Czech Republic
30,0922 Fieldstone Drive,,Lyubashivka,Ukraine
31,11495 Roxbury Center,43-474,Koniaków,Poland
32,2 Doe Crossing Pass,07104 CEDEX,Annonay,France
33,056 Forster Park,,Svislach,Belarus
34,6 Mccormick Crossing,665684,Novaya Igirma,Russia
35,557 Granby Junction,361424,Nal’chik,Russia
36,88 Ohio Center,75756 CEDEX 15,Paris 15,France
37,21907 Melvin Street,13540,Aix-en-Provence,France
38,68381 Melrose Avenue,624992,Kozhva,Russia
39,882 Thompson Point,9406,Harstad,Norway
40,4607 Brown Point,,Kosmach,Ukraine
41,27 Schurz Avenue,29228 CEDEX 2,Brest,France
42,2634 Wayridge Circle,168020,Kortkeros,Russia
43,642 Ridge Oak Parkway,42-125,Łobodno,Poland
44,8 Blue Bill Park Trail,452941,Agidel’,Russia
45,2 Alpine Drive,692327,Grazhdanka,Russia
