1|895-4685 Ullamcorper. Ave|98297|Waiblingen|Netherlands
2|200-4112 Amet, Rd.|31926|Noduwez|Chile
3|Ap #652-1891 At, Av.|60364-930|Montgomery|France
4|147-8539 Enim Rd.|623544|Valverde|Palau
5|P.O. Box 860, 6435 Ac Rd.|93947|Haut-Ittre|Cuba
6|8108 Metus Road|46-375|San José|French Southern Territories
7|3454 Sit Ave|2162|Armstrong|Samoa
8|6016 Tincidunt Street|58863|Vico del Gargano|Ecuador
9|P.O. Box 319, 4038 Odio Street|85806|Impe|El Salvador
10|5383 Nec, St.|24562|Fresia|Burundi
11|6459 Posuere Rd.|TU1R 9BC|Tenby|Kyrgyzstan
12|Ap #840-2497 Nascetur Avenue|58197|Columbia|Cocos (Keeling) Islands
13|408-6089 Nec, Avenue|TK5 2DG|Valparaíso de Goiás|Brunei
14|7469 Neque Ave|72-991|Bellegem|Bangladesh
15|P.O. Box 525, 7128 Nibh. Av.|13331|Sant'Onofrio|Mozambique
16|7096 Ad Avenue|95222|Diano Arentino|Kenya
17|8394 Mollis Road|6574 ET|Victor Harbor|Barbados
18|P.O. Box 684, 1478 Purus. Road|60905|Salzgitter|Tajikistan
19|Ap #161-7208 Quis St.|40210|Zeist|Mongolia
20|347-5984 Orci, Avenue|08748|Orvault|Svalbard and Jan Mayen Islands
21|7148 Nunc Rd.|60700|Wernigerode|Italy
22|347-6797 Pede. St.|85541|Okigwe|Nepal
23|863-4901 Purus. St.|56363|Broken Hill|Denmark
24|P.O. Box 589, 1478 Tempor Street|54-896|Villach|Marshall Islands
25|Ap #636-505 Nec Street|2328|Strona|Reunion
26|Ap #983-509 Nulla St.|59562|Spy|Equatorial Guinea
27|Ap #127-707 Nascetur Street|71511|Tejar|Malawi
28|Ap #457-602 Mauris Av.|88763|Sorgà|Dominican Republic
29|2007 Natoque Avenue|03556|Ficarolo|Papua New Guinea
30|P.O. Box 717, 7823 Eleifend Avenue|226953|Essen|American Samoa
31|P.O. Box 957, 3813 Aliquet Road|98797-783|Opwijk|Viet Nam
32|8454 Auctor, Ave|554440|Holman|Saint Barthélemy
33|Ap #261-2010 Vulputate Avenue|6421|Carcassonne|Myanmar
34|Ap #913-7760 Tempor Avenue|626211|Ostra Vetere|Martinique
35|Ap #122-7827 Eu, Avenue|T6E 8J7|Chiauci|Togo
36|Ap #205-9632 Magnis St.|45062|Wandsworth|Bulgaria
37|7571 Pharetra. Ave|43455-258|Wokingham|Saudi Arabia
38|164-1537 Tristique St.|79593|Fossato Serralta|Angola
39|489-1297 Blandit. Rd.|QK01 9YI|Berbroek|Marshall Islands
40|P.O. Box 866, 1051 Vel Street|30-581|Bekkerzeel|Rwanda
41|817-8887 Duis Ave|609589|Biesme-sous-Thuin|Virgin Islands, United States
42|Ap #222-9814 Odio Avenue|88794|Davenport|Iceland
43|P.O. Box 910, 9192 Eleifend Av.|22881|Nodebais|Netherlands
44|Ap #835-5481 Justo Rd.|71-517|Caplan|Portugal
45|397-3658 Aliquam St.|835983|Cerreto di Spoleto|Slovakia
46|1026 Integer St.|723899|Lonquimay|Tajikistan
47|602-6722 Interdum Avenue|890315|Rae-Edzo|Guadeloupe
48|605-990 Et St.|7666|La Seyne-sur-Mer|Viet Nam
49|1621 Quis Rd.|287828|Augsburg|Haiti
50|Ap #257-5878 Euismod Rd.|6068|Scala Coeli|Monaco
51|842-9884 Iaculis, Street|3943 WI|Hines Creek|Bosnia and Herzegovina
52|Ap #116-2661 Tellus St.|2587|Pozo Almonte|Somalia
53|Ap #307-3289 Luctus Avenue|28454|Issy-les-Moulineaux|Iceland
54|Ap #167-9085 Egestas Street|12-159|Worthing|Iran
55|P.O. Box 372, 7388 Nulla Street|974994|Tarragona|Central African Republic
56|5354 Mauris Rd.|062172|San Zenone degli Ezzelini|Sao Tome and Principe
57|Ap #775-7594 Nibh. St.|97830|Tarsia|Australia
